1 0:1 1:32.98 2:30.67 3:80653999 4:2499000
1 0:1 1:32.74 2:31.51 3:37727979 4:1168100
1 0:1 1:32.6 2:31.8 3:14914353 4:461600
1 0:1 1:32.79 2:32 3:28859603 4:890100
1 0:1 1:32.96 2:32.3 3:22537543 4:692200
1.3 0:1.3 1:33.813 2:32.89 3:40884487 4:1591000
1.3 0:1.3 1:35.1 2:32.63 3:22723593 4:880100
1.3 0:1.3 1:34.164 2:33.007 3:40160678 4:1545300
1.3 0:1.3 1:34.827 2:33.566 3:42281669 4:1600800
1.3 0:1.3 1:35.412 2:34.606 3:37836669 4:1402100
1.3 0:1.3 1:36.114 2:34.84 3:47263250 4:1725900
1.3 0:1.3 1:36.322 2:35.165 3:29615507 4:1080200
1.3 0:1.3 1:37.687 2:35.464 3:64572198 4:2285900
1.3 0:1.3 1:37.18 2:36.036 3:42887513 4:1521400
1.3 0:1.3 1:36.595 2:34.853 3:39208913 4:1441159
1.3 0:1.3 1:35.568 2:33.813 3:24879000 4:941800
1.3 0:1.3 1:33.813 2:32.318 3:24445650 4:970200
1.3 0:1.3 1:33.41 2:32.344 3:17506631 4:688300
1.3 0:1.3 1:33.41 2:32.864 3:8036781 4:316400
1.3 0:1.3 1:33.657 2:31.98 3:12846358 4:512200
1.3 0:1.3 1:32.5 2:31.72 3:12871692 4:521800
1.3 0:1.3 1:32.656 2:31.655 3:18388218 4:738000
1.3 0:1.3 1:32.474 2:29.393 3:49086820 4:2109100
1.3 0:1.3 1:31.031 2:29.25 3:12326726 4:532400
1.3 0:1.3 1:30.81 2:30.16 3:8662694 4:369000
1.3 0:1.3 1:33.54 2:31.33 3:49242415 4:1997300
1.3 0:1.3 1:31.967 2:29.666 3:14184576 4:612200
1.3 0:1.3 1:31.655 2:29.705 3:17408496 4:739300
1.3 0:1.3 1:31.551 2:30.446 3:31700359 4:1329400
1.3 0:1.3 1:31.447 2:30.004 3:16749575 4:712400
1.3 0:1.3 1:30.875 2:30.069 3:6499199 4:279100
1.3 0:1.3 1:29.978 2:28.704 3:19364308 4:856900
1.3 0:1.3 1:29.51 2:28.86 3:6383543 4:285500
1.3 0:1.3 1:29.38 2:27.95 3:13550687 4:618200
1.3 0:1.3 1:28.808 2:27.573 3:9452899 4:436100
1.3 0:1.3 1:28.678 2:28.184 3:5174539 4:236900
1.3 0:1.3 1:29.887 2:28.509 3:23024116 4:1019100
1.3 0:1.3 1:30.004 2:29.51 3:16803651 4:732600
1.3 0:1.3 1:30.017 2:29.055 3:12439526 4:550300
1.3 0:1.3 1:30.42 2:29.315 3:15700110 4:677000
1.3 0:1.3 1:30.407 2:30.03 3:14565675 4:626200
1.3 0:1.3 1:30.485 2:29.458 3:6660157 4:290300
1.3 0:1.3 1:29.77 2:28.08 3:10499674 4:474100
1.3 0:1.3 1:29.731 2:28.34 3:8700556 4:389500
1.3 0:1.3 1:31.187 2:29.133 3:29700541 4:1269000
1.3 0:1.3 1:30.55 2:29.003 3:15978953 4:696600
1.3 0:1.3 1:29.9 2:29.094 3:6856828 4:303600
1.3 0:1.3 1:29.991 2:28.73 3:12310987 4:540300
1.3 0:1.3 1:29.9 2:28.938 3:5888870 4:259400
1.3 0:1.3 1:29.718 2:29.055 3:2663710 4:118000
1.3 0:1.3 1:29.718 2:29.003 3:3699199 4:163900
1.3 0:1.3 1:29.627 2:29.068 3:1793987 4:79600
1.3 0:1.3 1:29.38 2:28.99 3:8102580 4:360100
1.3 0:1.3 1:29.77 2:29.094 3:4638005 4:204100
1.3 0:1.3 1:30.368 2:29.64 3:8143235 4:352600
1.3 0:1.3 1:30.42 2:29.965 3:8681098 4:373300
1.3 0:1.3 1:30.537 2:29.77 3:10585687 4:454500
1.3 0:1.3 1:31.98 2:30.29 3:60062236 4:2490800
1.3 0:1.3 1:31.655 2:31.135 3:14109029 4:585000
1.3 0:1.3 1:32.11 2:31.096 3:25298031 4:1037300
1.3 0:1.3 1:32.435 2:31.226 3:34423653 4:1399008
1.3 0:1.3 1:32.37 2:30.68 3:30863492 4:1274500
1.3 0:1.3 1:31.226 2:30.485 3:17732529 4:745200
1.3 0:1.3 1:32.63 2:30.784 3:37029485 4:1506800
1.3 0:1.3 1:31.72 2:30.745 3:23354656 4:973100
1.3 0:1.3 1:31.135 2:29.874 3:26612135 4:1143100
1.3 0:1.3 1:30.94 2:29.835 3:21708820 4:929500
1.3 0:1.3 1:32.175 2:30.433 3:37066747 4:1521300
1.3 0:1.3 1:32.448 2:31.46 3:33436191 4:1352338
1.3 0:1.3 1:33.384 2:31.72 3:95626261 4:3802600
1.3 0:1.3 1:34.697 2:32.11 3:139397468 4:5474400
1.3 0:1.3 1:34.775 2:33.28 3:92432291 4:3508300
1.3 0:1.3 1:34.424 2:33.54 3:47802095 4:1840500
1.3 0:1.3 1:34.788 2:33.514 3:38961459 4:1484600
1.3 0:1.3 1:37.609 2:34.424 3:159093463 4:5696900
1.3 0:1.3 1:37.7 2:35.75 3:127496165 4:4514300
1.3 0:1.3 1:39.689 2:35.516 3:159075908 4:5434000
1.3 0:1.3 1:40.63800000000001 2:38.48 3:123645797 4:4087400
1.3 0:1.3 1:39.91 2:38.168 3:102308196 4:3413300
1.3 0:1.3 1:39.117 2:36.14 3:139601386 4:4854900
1.3 0:1.3 1:37.687 2:36.4 3:88880520 4:3115800
1.3 0:1.3 1:37.037 2:35.425 3:46724290 4:1678500
1.3 0:1.3 1:35.88 2:33.995 3:54877896 4:2039400
1.3 0:1.3 1:35.724 2:33.605 3:46716017 4:1737000
1.3 0:1.3 1:36.894 2:35.113 3:31508026 4:1139600
1.3 0:1.3 1:36.92 2:35.49 3:32545781 4:1158000
1.3 0:1.3 1:37.96 2:36.413 3:40386900 4:1403200
1.3 0:1.3 1:40.924 2:37.05 3:117537698 4:3900600
1.3 0:1.3 1:41.015 2:38.025 3:110142525 4:3639200
1.3 0:1.3 1:40.703 2:38.324 3:92286660 4:3055100
1.3 0:1.3 1:40.3 2:38.805 3:68887906 4:2255500
1.3 0:1.3 1:44.22600000000001 2:40.69 3:124866642 4:3818500
1.3 0:1.3 1:48.646 2:46.15 3:196827511 4:5350800
1.3 0:1.3 1:52.208 2:48.75 3:79302299 4:2025800
1.3 0:1.3 1:57.434 2:50.7 3:197557542 4:4615200
1.3 0:1.3 1:54.691 2:50.05 3:173995695 4:4384900
1.3 0:1.3 1:57.018 2:48.087 3:270919389 4:7075100
1.3 0:1.3 1:49.14 2:43.94 3:129673880 4:3693100
1.3 0:1.3 1:49.79 2:43.901 3:120632006 4:3442800
